,Compound,Negative,Neutral,Positive,Tweet,account,tweet ago
98,0.128,0.588,0.185,0.227,Term-time holiday rules stop children taking dance exams https://t.co/KLJsIaSnrW,BBC News (UK),99
99,-0.5423,0.696,0.304,0.0,International aid: Government fund 'could be causing harm' https://t.co/cgZt95S5uZ,BBC News (UK),100
100,-0.1027,0.706,0.159,0.135,"Office responsible for vetting Trump appointees plagued by personnel problems, report says https://t.co/hvlik6acz0 https://t.co/x6fKEgI5pv",CBS News,1
101,-0.0516,0.915,0.085,0.0,Two ISIS fighters from cell known for beheading hostages break their silence https://t.co/Sobj55rums https://t.co/ZLEw7hiXlL,CBS News,2
102,-0.34,0.821,0.179,0.0,Delta landing gear catches fire shortly after landing in Atlanta https://t.co/3HwOuFXOt9 https://t.co/OZHLp07Csa,CBS News,3
103,0.4215,0.811,0.0,0.189,"Grace VanderWaal: The 14-year-old pop star with an ""old soul"" sound https://t.co/3FWueaxVzd https://t.co/UwosfPbfb7",CBS News,4
104,0.0,1.0,0.0,0.0,Who is invited to the royal wedding? Guest list details emerge https://t.co/4MeL29617Y https://t.co/za3Blh1WPL,CBS News,5
105,0.1779,0.709,0.118,0.173,Concern over Russian ships lurking around vital undersea cables https://t.co/NxDA4il9l1 https://t.co/lYc8wC5dzc,CBS News,6
106,-0.3182,0.85,0.15,0.0,Nortre Dame defeats UConn with buzzer shot with 1 second left in OT https://t.co/l132yyFAkC https://t.co/tWd7KstzNc,CBS News,7
107,-0.4767,0.78,0.22,0.0,"After bodies found in mine, man arrested in teens' deaths https://t.co/hTIMmRReII https://t.co/Fb20Bl7dP5",CBS News,8
108,0.0,1.0,0.0,0.0,Blizzard-like conditions expected in spring storm slamming northern Plains https://t.co/2SXXcykbJv,CBS News,9
109,0.4464,0.696,0.0,0.304,Noor Salman verdict: Pulse nightclub gunman's widow not guilty https://t.co/BvttDeNfS6 https://t.co/b6ZUsZ3kBp,CBS News,10
110,0.0,1.0,0.0,0.0,"""Holy grail of shipwrecks"": Centuries-old sailing ship found on Florida beach https://t.co/0UFY58eisE https://t.co/JMF8x4Qacg",CBS News,11
111,0.0,1.0,0.0,0.0,San Francisco police release video of deadly barber shop shooting https://t.co/G1Zyz2PJjB https://t.co/sGOnPAlM08,CBS News,12
112,-0.6486,0.751,0.249,0.0,Youth from famed photo believed among dead as SUV flies off cliff https://t.co/fqbIMzV2zL https://t.co/7LodeTprnW,CBS News,13
113,-0.5719,0.764,0.236,0.0,Widespread teacher absences close Kentucky schools amid anger over pension bill https://t.co/to12qSnaiZ https://t.co/76JKN2TwvI,CBS News,14
114,0.5267,0.726,0.0,0.274,"Mega Millions winning numbers for Friday, March 30 https://t.co/m9iokK8CFi https://t.co/hqlPPeMqDi",CBS News,15
115,-0.4404,0.818,0.182,0.0,"""She's a monster,"" say parents of boy allegedly molested by teacher Brittany Zamora https://t.co/OcAmEtykUB https://t.co/nGIvOG7UlU",CBS News,16
116,0.5994,0.71,0.0,0.29,Schlitterbahn water park indictments highlight lax state rules that cover amusement parks https://t.co/lVXiXfw2Lj https://t.co/8s7tZa9jGm,CBS News,17
117,-0.5994,0.691,0.225,0.084,"The Parkland school shooter, charged with killing 17 people, has been getting piles of fan mail while he sits in ja… https://t.co/YG2cMx9bow",CBS News,18
118,-0.6908,0.81,0.19,0.0,"After Adnan Syed had his murder conviction thrown out for a second time, what's next for the subject of ""Serial,"" t… https://t.co/EaOBJVXtmn",CBS News,19
119,0.0258,0.932,0.0,0.068,"""Clueless"" actress turned conservative commentator Stacey Dash is backing out of her bid for Congress… https://t.co/UuurjnhpOb",CBS News,20
120,-0.25,0.727,0.159,0.114,Democratic congresswoman apologizes for not protecting women in her office; they allege being harassed by her forme… https://t.co/5eIM6JH5X1,CBS News,21
121,-0.5859,0.826,0.174,0.0,"While the national average for lead poisoning is about three percent, more than 11 percent of Milwaukee's children… https://t.co/WYojvaMosy",CBS News,22
122,0.6249,0.779,0.0,0.221,U.S. says it has the support of the U.N. Security Council for a new package of sanctions against North Korea… https://t.co/ZAOjUVAhGo,CBS News,23
123,-0.1531,0.696,0.143,0.161,"David Hogg, a survivor of last month's school shooting in Parkland, Florida, has rejected an apology from Fox News… https://t.co/gW5e7P8pQs",CBS News,24
124,0.0,1.0,0.0,0.0,"President Trump's unscripted remark this week about pulling out of Syria ""very soon,"" while at odds with his own po… https://t.co/68DddelJOg",CBS News,25
125,0.3182,0.881,0.0,0.119,A Florida jury deliberated for just over 12 hours before acquitting the widow of the Pulse nightclub shooter… https://t.co/h1tGOOQCIt,CBS News,26
126,-0.9325,0.533,0.467,0.0,"A roadside bomb killed one American and one British soldier Friday, the first U.S. combat death in Syria this year… https://t.co/DqozbJrXCZ",CBS News,27
127,-0.6597,0.803,0.197,0.0,"One man traveled 6,500 miles to confront the West African man who tried to scam him on the internet -- and then, a… https://t.co/22zQnyfXoV",CBS News,28
128,0.0,1.0,0.0,0.0,"RT @CBSEveningNews: “The hours that I am putting in, I don't think I can sustain for much longer.” 

Teachers in Kentucky, Arizona and Okla…",CBS News,29
129,-0.7906,0.72,0.28,0.0,"At least 15 Palestinians were killed, and more than 1,000 wounded fighting Israeli troops along the Gaza border on… https://t.co/vQvZdE2xv5",CBS News,30
130,-0.7906,0.731,0.269,0.0,RT @CBSEveningNews: At least 15 Palestinians were killed and more than a thousand wounded fighting Israeli troops along the Gaza border. To…,CBS News,31
131,-0.8402,0.609,0.391,0.0,"Neither officer involved in fatal 2016 Alton Sterling shooting will face criminal charges; Officer Blane Salamoni,… https://t.co/57XVFsKtKT",CBS News,32
132,-0.34,0.897,0.103,0.0,"Attorney Ben Crump: ""The narrative that had been put forth is that they had to open fire because [Clark] was chargi… https://t.co/ZBdRkuN6au",CBS News,33
133,0.0,1.0,0.0,0.0,The family of Stephon Clark says the results of an autopsy they had done are at odds with the police version of the… https://t.co/6zCLeuj8pM,CBS News,34
134,0.4404,0.888,0.0,0.112,"RT @CBSEveningNews: We’re on the air in the East. @JeffGlor is live from Studio 57 in NYC
Thanks for being with us #OriginalReporting #CBSE…",CBS News,35
135,0.4767,0.846,0.0,0.154,"NEW: ""Officer Blane Salamoni has been terminated from the Baton Rouge Police Department, effective today,"" police c… https://t.co/AG9jnzFPzn",CBS News,36
136,0.0,1.0,0.0,0.0,Man who allegedly escaped federal custody -- as he was about to be deported to Senegal -- has been captured by immi… https://t.co/vH2dEThCQM,CBS News,37
137,-0.4939,0.849,0.151,0.0,"""Fear cannot be a driver for an officer's response to every incident,"" Baton Rouge police chief says, addressing po… https://t.co/HDkIBAV3gP",CBS News,38
138,0.0,1.0,0.0,0.0,"WATCH: ""On the advice of his attorney, Officer Salamoni chose not to answer any of our questions,"" Baton Rouge poli… https://t.co/wzZlIaAKDY",CBS News,39
139,0.0,1.0,0.0,0.0,"By day, an accountant; by night, he took to the ice to debut as the Chicago Blackhawks' goalie… https://t.co/pt5SXukMou",CBS News,40
140,0.0,1.0,0.0,0.0,Most 17 year olds are thinking about prom. She's trying to decide between the nine Ph.D. programs that've offered h… https://t.co/yupBPBE5pJ,CBS News,41
